,id,neg,neu,pos,compound,sentiment_score
101,1476353064391086082,0.0,1.0,0.0,0.0,Neutral
102,1476347516069154816,0.219,0.725,0.056,-0.7046,Negative
103,1476328204801617930,0.068,0.658,0.273,0.8442,Positive
104,1476328157003366403,0.068,0.658,0.273,0.8442,Positive
105,1476328100401229831,0.068,0.658,0.273,0.8442,Positive
106,1476328058898587652,0.068,0.658,0.273,0.8442,Positive
107,1476327987771588609,0.07,0.649,0.281,0.8442,Positive
108,1476325959829704710,0.219,0.671,0.11,-0.6586,Negative
109,1476324787911901204,0.0,1.0,0.0,0.0,Neutral
110,1476311245632507907,0.0,0.408,0.592,0.4404,Positive
111,1476308410186579983,0.0,0.662,0.338,0.5574,Positive
112,1476303150772625408,0.0,0.927,0.073,0.3182,Positive
113,1476300945168506889,0.0,0.809,0.191,0.3802,Positive
114,1476295559292104713,0.0,1.0,0.0,0.0,Neutral
115,1476294497889890304,0.0,1.0,0.0,0.0,Neutral
116,1476289525454413838,0.0,0.868,0.132,0.6249,Positive
117,1476274919734452228,0.0,0.702,0.298,0.1779,Positive
118,1476272581418364939,0.036,0.816,0.148,0.7757,Positive
119,1476269206375120898,0.0,0.942,0.058,0.0772,Positive
120,1476264458544553985,0.081,0.778,0.141,0.25,Positive
121,1476263738105810946,0.0,1.0,0.0,0.0,Neutral
122,1476261510968131592,0.0,1.0,0.0,0.0,Neutral
123,1476259105174171655,0.607,0.393,0.0,-0.4753,Negative
124,1476258777699688450,0.302,0.698,0.0,-0.5983,Negative
125,1476256377681162242,0.0,0.646,0.354,0.5095,Positive
126,1476256214849884160,0.0,1.0,0.0,0.0,Neutral
127,1476255417344802817,0.0,1.0,0.0,0.0,Neutral
128,1476255213409345542,0.194,0.69,0.116,-0.7096,Negative
129,1476255177380274176,0.194,0.69,0.116,-0.7096,Negative
130,1476255148284387330,0.194,0.69,0.116,-0.7096,Negative
131,1476255117099868161,0.194,0.69,0.116,-0.7096,Negative
132,1476254733526466561,0.194,0.69,0.116,-0.7096,Negative
133,1476253122334900224,0.197,0.685,0.117,-0.7096,Negative
134,1476250319373967363,0.0,0.702,0.298,0.1779,Positive
135,1476247430630830080,0.052,0.812,0.135,0.5106,Positive
136,1476247226804420614,0.049,0.874,0.077,0.0129,Neutral
137,1476247140246585352,0.053,0.809,0.138,0.5106,Positive
138,1476243811084877825,0.13,0.836,0.034,-0.8006,Negative
139,1476241429802278914,0.0,0.935,0.065,0.25,Positive
140,1476238960905052167,0.053,0.847,0.101,0.4033,Positive
141,1476230309435871241,0.035,0.878,0.087,0.34,Positive
142,1476220009718423562,0.264,0.585,0.151,-0.8777,Negative
143,1476207415687270408,0.0,0.69,0.31,0.4019,Positive
144,1476205389427486721,0.0,0.649,0.351,0.4019,Positive
145,1476203503198502915,0.0,0.167,0.833,0.6124,Positive
146,1476195553260224522,0.0,1.0,0.0,0.0,Neutral
147,1476155207545499648,0.0,1.0,0.0,0.0,Neutral
148,1476110389473693696,0.0,1.0,0.0,0.0,Neutral
149,1476108030387310593,0.055,0.796,0.149,0.7405,Positive
150,1476106037937651712,0.082,0.723,0.195,0.484,Positive
151,1476101209379737602,0.205,0.795,0.0,-0.4767,Negative
152,1476070631431151619,0.0,1.0,0.0,0.0,Neutral
153,1476069680590827521,0.0,1.0,0.0,0.0,Neutral
154,1476067560164663299,0.0,0.945,0.055,0.4263,Positive
155,1476064753566904321,0.459,0.541,0.0,-0.8807,Negative
156,1476054570564419586,0.0,0.744,0.256,0.8851,Positive
157,1476034517865435136,0.0,0.423,0.577,0.6249,Positive
158,1476032755003805700,0.0,1.0,0.0,0.0,Neutral
159,1476022684429475840,0.119,0.803,0.078,-0.2481,Negative
160,1475999005138169859,0.419,0.581,0.0,-0.5574,Negative
161,1475994069344165888,0.0,0.841,0.159,0.51,Positive
162,1475993966806028299,0.0,0.836,0.164,0.51,Positive
163,1475993161021407235,0.0,0.8,0.2,0.4576,Positive
164,1475992972105760775,0.0,0.786,0.214,0.4576,Positive
165,1475992920058703878,0.0,0.77,0.23,0.4576,Positive
166,1475992889062797315,0.0,0.77,0.23,0.4576,Positive
167,1475992753263849476,0.0,0.667,0.333,0.4576,Positive
168,1475992648586600450,0.0,0.8,0.2,0.4576,Positive
169,1475992622921654285,0.0,0.795,0.205,0.6597,Positive
170,1475992428595359745,0.0,0.8,0.2,0.4576,Positive
171,1475992336844787713,0.0,1.0,0.0,0.0,Neutral
172,1475987335305175041,0.176,0.544,0.28,0.6115,Positive
173,1475986292538327044,0.0,0.873,0.127,0.4939,Positive
174,1475967921058942983,0.093,0.554,0.353,0.8173,Positive
175,1475967851773235207,0.097,0.538,0.365,0.8173,Positive
176,1475964314813022208,0.121,0.853,0.026,-0.7303,Negative
177,1475947133677326350,0.0,0.881,0.119,0.4019,Positive
178,1475947009710428162,0.0,0.876,0.124,0.4019,Positive
179,1475943860354355200,0.0,1.0,0.0,0.0,Neutral
180,1475940844502978568,0.0,1.0,0.0,0.0,Neutral
181,1475930133319991296,0.034,0.888,0.077,0.3612,Positive
182,1475929869250793474,0.035,0.885,0.08,0.3612,Positive
183,1475929781510164484,0.035,0.885,0.08,0.3612,Positive
184,1475929710198935553,0.035,0.885,0.08,0.3612,Positive
185,1475929619169640453,0.034,0.888,0.077,0.3612,Positive
186,1475929500814766081,0.035,0.885,0.08,0.3612,Positive
187,1475929295402930178,0.035,0.885,0.08,0.3612,Positive
188,1475929009565278210,0.032,0.827,0.141,0.6249,Positive
189,1475928407338745856,0.032,0.827,0.141,0.6249,Positive
190,1475928344872976385,0.031,0.831,0.138,0.6249,Positive
191,1475928122461548546,0.031,0.831,0.138,0.6249,Positive
192,1475927958917292036,0.032,0.827,0.141,0.6249,Positive
193,1475927855473180673,0.032,0.827,0.141,0.6249,Positive
